SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISABSEE_N_T,DISABSEE_YSOME_T,DISABSEE_YLOT_T,DISABSEE_YALL_T,DISABSEE_Y_T,DISABSEE_TOT_T,DISABSEER_T,DISABSEE_N_F,DISABSEE_YSOME_F,DISABSEE_YLOT_F,DISABSEE_YALL_F,DISABSEE_Y_F,DISABSEE_TOT_F,DISABSEER_F,DISABSEE_N_M,DISABSEE_YSOME_M,DISABSEE_YLOT_M,DISABSEE_YALL_M,DISABSEE_Y_M,DISABSEE_TOT_M,DISABSEER_M,DISABSEE_N_U,DISABSEE_YSOME_U,DISABSEE_YLOT_U,DISABSEE_YALL_U,DISABSEE_Y_U,DISABSEE_TOT_U,DISABSEER_U,DISABSEE_N_R,DISABSEE_YSOME_R,DISABSEE_YLOT_R,DISABSEE_YALL_R,DISABSEE_Y_R,DISABSEE_TOT_R,DISABSEER_R,DISABSEER_N_FU,DISABSEE_YSOME_FU,DISABSEE_YLOT_FU,DISABSEE_YALL_FU,DISABSEE_Y_FU,DISABSEE_TOT_FU,DISABSEER_FU,DISABSEE_N_MU,DISABSEE_YSOME_MU,DISABSEE_YLOT_MU,DISABSEE_YALL_MU,DISABSEE_Y_MU,DISABSEE_TOT_MU,DISABSEER_MU,DISABSEE_N_FR,DISABSEE_YSOME_FR,DISABSEE_YLOT_FR,DISABSEE_YALL_FR,DISABSEE_Y_FR,DISABSEE_TOT_FR,DISABSEER_FR,DISABSEE_N_MR,DISABSEE_YSOME_MR,DISABSEE_YLOT_MR,DISABSEE_YALL_MR,DISABSEE_Y_MR,DISABSEE_TOT_MR,DISABSEER_MR
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009025,Saw,ဆော,65730,2671,218,78,2967,68697,4.318965893707149,34495,1480,135,41,1656,36151,4.580786146994551,31235,1191,83,37,1311,32546,4.028144779696429,9176,269,22,6,297,9473,3.1352264330201627,56554,2402,196,72,2670,59224,4.508307442928543,4927,142,11,3,156,5083,3.0690537084398977,4249,127,11,3,141,4390,3.211845102505695,29568,1338,124,38,1500,31068,4.828118964851294,26986,1064,72,34,1170,28156,4.155419803949425
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010001,Aungmyaythazan,အောင်မြေသာဇံ,259572,5673,329,205,6207,265779,2.3353989592857225,132285,3224,194,117,3535,135820,2.6027094684140777,127287,2449,135,88,2672,129959,2.0560330565793827,259572,5673,329,205,6207,265779,2.3353989592857225,0,0,0,0,0,0,,132285,3224,194,117,3535,135820,2.6027094684140777,127287,2449,135,88,2672,129959,2.0560330565793827,0,0,0,0,0,0,,0,0,0,0,0,0,
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010002,Chanayethazan,ချမ်းအေးသာဇံ,195796,1126,104,149,1379,197175,0.6993787244833269,103149,648,62,71,781,103930,0.7514673337823535,92647,478,42,78,598,93245,0.6413212504691941,195796,1126,104,149,1379,197175,0.6993787244833269,0,0,0,0,0,0,,103149,648,62,71,781,103930,0.7514673337823535,92647,478,42,78,598,93245,0.6413212504691941,0,0,0,0,0,0,,0,0,0,0,0,0,
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010003,Mahaaungmyay,မဟာအောင်မြေ,239006,1796,161,150,2107,241113,0.8738641218018107,123052,978,89,91,1158,124210,0.9322920859834152,115954,818,72,59,949,116903,0.8117841287221029,239006,1796,161,150,2107,241113,0.8738641218018107,0,0,0,0,0,0,,123052,978,89,91,1158,124210,0.9322920859834152,115954,818,72,59,949,116903,0.8117841287221029,0,0,0,0,0,0,,0,0,0,0,0,0,
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010004,Chanmyathazi,ချမ်းမြသာစည်,281278,2128,186,189,2503,283781,0.8820181759878216,144805,1230,105,113,1448,146253,0.9900651610565253,136473,898,81,76,1055,137528,0.7671165144552382,281278,2128,186,189,2503,283781,0.8820181759878216,0,0,0,0,0,0,,144805,1230,105,113,1448,146253,0.9900651610565253,136473,898,81,76,1055,137528,0.7671165144552382,0,0,0,0,0,0,,0,0,0,0,0,0,
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010005,Pyigyitagon,ပြည်ကြီးတံခွန်,236116,1289,167,126,1582,237698,0.665550404294525,115939,789,101,75,965,116904,0.8254636282761925,120177,500,66,51,617,120794,0.5107869596171996,236116,1289,167,126,1582,237698,0.665550404294525,0,0,0,0,0,0,,115939,789,101,75,965,116904,0.8254636282761925,120177,500,66,51,617,120794,0.5107869596171996,0,0,0,0,0,0,,0,0,0,0,0,0,
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010006,Amarapura,အမရပူရ,234517,2642,225,234,3101,237618,1.305035813785151,121229,1598,141,169,1908,123137,1.549493653410429,113288,1044,84,65,1193,114481,1.04209432132843,80204,479,58,83,620,80824,0.7670988815203404,154313,2163,167,151,2481,156794,1.5823309565417043,41484,288,30,63,381,41865,0.9100680759584377,38720,191,28,20,239,38959,0.61346543802459,79745,1310,111,106,1527,81272,1.8788758736096072,74568,853,56,45,954,75522,1.2632080718201317
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010007,Patheingyi,ပုသိမ်ကြီး,258818,4309,367,231,4907,263725,1.8606502986065028,131826,2537,217,141,2895,134721,2.148885474424923,126992,1772,150,90,2012,129004,1.5596415615019688,12965,101,5,11,117,13082,0.8943586607552363,245853,4208,362,220,4790,250643,1.911084690176865,6887,60,4,6,70,6957,1.0061808250682767,6078,41,1,5,47,6125,0.7673469387755102,124939,2477,213,135,2825,127764,2.2111079803387494,120914,1731,149,85,1965,122879,1.5991341075366823
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010008,Pyinoolwin,ပြင်ဦးလွင်,252875,2276,263,94,2633,255508,1.0304961097108505,126077,1232,120,52,1404,127481,1.1013405919313466,126798,1044,143,42,1229,128027,0.9599537597538019,156721,1794,211,57,2062,158783,1.29862768684305,96154,482,52,37,571,96725,0.5903334194882399,78538,968,91,33,1092,79630,1.3713424588722842,78183,826,120,24,970,79153,1.2254747135294934,47539,264,29,19,312,47851,0.6520239911391611,48615,218,23,18,259,48874,0.5299341162990547
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010009,Madaya,မတ္တရာ,254996,2401,304,300,3005,258001,1.164724167735784,133356,1399,185,182,1766,135122,1.3069670371960154,121640,1002,119,118,1239,122879,1.0083089868895416,23973,216,19,26,261,24234,1.0769992572418916,231023,2185,285,274,2744,233767,1.1738183747064386,12601,131,13,16,160,12761,1.2538202335240185,11372,85,6,10,101,11473,0.88032772596531,120755,1268,172,166,1606,122361,1.31250970488963,110268,917,113,108,1138,111406,1.0214889682781896
