SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISWALK_N_T,DISWALK_YSOME_T,DISWALK_YLOT_T,DISWALK_YALL_T,DISWALK_Y_T,DISWALK_TOT_T,DISWALKR_T,DISWALK_N_F,DISWALK_YSOME_F,DISWALK_YLOT_F,DISWALK_YALL_F,DISWALK_Y_F,DISWALK_TOT_F,DISWALKR_F,DISWALK_N_M,DISWALK_YSOME_M,DISWALK_YLOT_M,DISWALK_YALL_M,DISWALK_Y_M,DISWALK_TOT_M,DISWALKR_M,DISWALK_N_U,DISWALK_YSOME_U,DISWALK_YLOT_U,DISWALK_YALL_U,DISWALK_Y_U,DISWALK_TOT_U,DISWALKR_U,DISWALK_N_R,DISWALK_YSOME_R,DISWALK_YLOT_R,DISWALK_YALL_R,DISWALK_Y_R,DISWALK_TOT_R,DISWALKR_R,DISWALK_N_FU,DISWALK_YSOME_FU,DISWALK_YLOT_FU,DISWALK_YALL_FU,DISWALK_Y_FU,DISWALK_TOT_FU,DISWALKR_FU,DISWALK_N_MU,DISWALK_YSOME_MU,DISWALK_YLOT_MU,DISWALK_YALL_MU,DISWALK_Y_MU,DISWALK_TOT_MU,DISWALKR_MU,DISWALK_N_FR,DISWALK_YSOME_FR,DISWALK_YLOT_FR,DISWALK_YALL_FR,DISWALK_Y_FR,DISWALK_TOT_FR,DISWALKR_FR,DISWALK_N_MR,DISWALK_YSOME_MR,DISWALK_YLOT_MR,DISWALK_YALL_MR,DISWALK_Y_MR,DISWALK_TOT_MR,DISWALKR_MR
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005022,Tigyaing,ထီးချိုင့်,128625,949,258,123,1330,129955,1.0234311877188258,65479,538,131,71,740,66219,1.1175040396260891,63146,411,127,52,590,63736,0.9256934856282164,13417,83,21,14,118,13535,0.8718138160325083,115208,866,237,109,1212,116420,1.0410582374162516,7068,51,11,10,72,7140,1.0084033613445378,6349,32,10,4,46,6395,0.7193119624706802,58411,487,120,61,1393,60472,2.3035454425188515,56797,379,117,48,544,57341,0.9487103468722206
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005023,Banmauk,ဗန်းမောက်,111510,848,200,110,1158,112668,1.0277984875918629,54837,473,98,65,636,55473,1.1465037045048942,56673,375,102,45,522,57195,0.912667191188041,6122,23,12,8,43,6165,0.6974858069748581,105388,825,188,102,1115,106503,1.0469188661352262,3258,13,6,5,24,3282,0.7312614259597806,2864,10,6,3,19,2883,0.6590357266736039,51579,460,92,60,1280,53471,2.393820949673655,53809,365,96,42,503,54312,0.9261305052290469
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005024,Kawlin,ကောလင်း,143488,1192,411,206,1809,145297,1.2450360296496144,74490,683,235,107,1025,75515,1.3573462226047806,68998,509,176,99,784,69782,1.1234988965635837,21320,59,40,12,111,21431,0.5179412999860016,122168,1133,371,194,1698,123866,1.37083622624449,11417,28,22,7,57,11474,0.49677531811051073,9903,31,18,5,54,9957,0.5423320277191925,63073,655,213,100,1580,65621,2.4077658066777405,59095,478,158,94,730,59825,1.2202256581696613
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005025,Wuntho,ဝန်းသို,72587,552,169,87,808,73395,1.1008924313645343,37456,325,90,59,474,37930,1.249670445557606,35131,227,79,28,334,35465,0.9417735795855068,11774,143,43,12,198,11972,1.6538590043434682,60813,409,126,75,610,61423,0.9931133288833173,6254,93,19,8,120,6374,1.882648258550361,5520,50,24,4,78,5598,1.3933547695605575,31202,232,71,51,1322,32878,4.02092584707099,29611,177,55,24,256,29867,0.8571332909230924
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005026,Pinlebu,ပင်လည်ဘူး,110621,941,252,154,1347,111968,1.2030222920834523,58762,575,149,89,813,59575,1.3646663869072597,51859,366,103,65,534,52393,1.0192201248258355,6877,53,20,13,86,6963,1.2350998132988655,103744,888,232,141,1261,105005,1.2008951954668825,3657,33,10,4,47,3704,1.2688984881209504,3220,20,10,9,39,3259,1.196686100030684,55105,542,139,85,1120,56991,1.9652225790037023,48639,346,93,56,495,49134,1.0074490169739894
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005027,Kale,ကလေး,344541,2589,892,551,4032,348573,1.1567160967716947,178949,1317,450,299,2066,181015,1.1413418777449382,165592,1272,442,252,1966,167558,1.173325057591998,129176,830,269,231,1330,130506,1.0191102324797328,215365,1759,623,320,2702,218067,1.2390687265840317,69189,410,133,117,660,69849,0.9448954172572263,59987,420,136,114,670,60657,1.1045716075638428,109760,907,317,182,2172,113338,1.9163916779897299,105605,852,306,138,1296,106901,1.2123366479265862
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005028,Kalewa,ကလေးဝ,55938,366,92,36,494,56432,0.8753898497306493,28441,210,48,18,276,28717,0.961103179301459,27497,156,44,18,218,27715,0.7865776655240844,8776,32,8,3,43,8819,0.4875836262614809,47162,334,84,33,451,47613,0.9472202969777163,4631,16,3,1,20,4651,0.43001505052676847,4145,16,5,2,23,4168,0.5518234165067178,23810,194,45,17,1662,25728,6.459888059701492,23352,140,39,16,195,23547,0.8281309720983565
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005029,Mingin,မင်းကင်း,103175,837,216,135,1188,104363,1.1383344671962285,53560,437,110,85,632,54192,1.1662237968703868,49615,400,106,50,556,50171,1.1082099220665325,3424,34,3,6,43,3467,1.2402653591000865,99751,803,213,129,1145,100896,1.1348319061211545,1866,16,2,4,22,1888,1.1652542372881356,1558,18,1,2,21,1579,1.3299556681443951,51694,421,108,81,866,53170,1.628738010156103,48057,382,105,48,535,48592,1.1010042805400067
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005030,Tamu,တမူး,113420,999,293,157,1449,114869,1.261436941211293,57104,516,151,91,758,57862,1.3100134803497978,56316,483,142,66,691,57007,1.212131843457821,59044,631,181,82,894,59938,1.491541259301278,54376,368,112,75,555,54931,1.010358449691431,30246,339,88,49,476,30722,1.5493782956838749,28798,292,93,33,418,29216,1.430722891566265,26858,177,63,42,1047,28187,3.7144783056018733,27518,191,49,33,273,27791,0.982332409772948
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005031,Mawlaik,မော်လိုက်,50553,500,176,85,761,51314,1.4830260747554274,25858,257,94,50,401,26259,1.5270954720286378,24695,243,82,35,360,25055,1.4368389543005389,8424,75,36,21,132,8556,1.5427769985974753,42129,425,140,64,629,42758,1.471069741334955,4099,33,13,10,56,4155,1.3477737665463296,4325,42,23,11,76,4401,1.7268802544876165,21759,224,81,40,472,22576,2.090715804394047,20370,201,59,24,284,20654,1.3750363125786773
